rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
422,479,0.052634,0.959199,0.0440,0.0310,0.061634,0.223345,0.161711,tool
423,578,-0.052571,0.995010,0.0010,0.0030,-0.011853,0.004089,0.015942,nontool
424,585,-0.052336,0.995006,0.0010,0.0030,-0.022272,0.004510,0.026782,nontool
425,779,0.051995,0.997008,0.0030,0.0010,0.015744,0.021343,0.005599,tool
426,806,-0.051981,0.994018,0.0020,0.0040,-0.014976,0.007528,0.022504,nontool
427,236,-0.051383,0.992632,0.0030,0.0050,-0.017707,0.012048,0.029756,nontool
428,194,-0.050641,0.983614,0.0050,0.0120,-0.030232,0.037842,0.068074,nontool
429,379,0.050472,0.997012,0.0060,0.0010,0.014780,0.023609,0.008829,tool
430,291,-0.050115,0.995034,0.0010,0.0030,-0.012346,0.004797,0.017143,nontool
431,692,0.049763,0.996018,0.0040,0.0020,0.014573,0.022858,0.008286,tool
432,293,0.049196,0.981616,0.0210,0.0140,0.032598,0.099694,0.067097,tool
433,735,0.048514,0.992563,0.0090,0.0050,0.017109,0.038071,0.020962,tool
434,767,-0.048108,0.995036,0.0010,0.0030,-0.015068,0.006076,0.021144,nontool
435,228,0.047985,0.996025,0.0040,0.0020,0.015147,0.024033,0.008886,tool
436,811,0.047278,0.997012,0.0020,0.0010,0.017711,0.022650,0.004940,tool
437,14,-0.047256,0.988900,0.0070,0.0080,-0.047215,0.046288,0.093503,nontool
438,694,-0.046689,0.992515,0.0030,0.0050,-0.014290,0.011876,0.026166,nontool
439,171,-0.046075,0.965650,0.0210,0.0260,-0.053066,0.134484,0.187549,nontool
440,404,-0.044722,0.997032,0.0000,0.0010,-0.005668,0.000000,0.005668,nontool
441,254,-0.044722,0.997002,0.0000,0.0010,-0.004245,0.000000,0.004245,nontool
442,289,-0.044722,0.997002,0.0000,0.0010,-0.004668,0.000000,0.004668,nontool
443,26,-0.044722,0.997002,0.0000,0.0010,-0.004225,0.000000,0.004225,nontool
444,641,-0.044722,0.997002,0.0000,0.0010,-0.005932,0.000000,0.005932,nontool
445,230,-0.044722,0.997016,0.0000,0.0010,-0.005667,0.000000,0.005667,nontool
446,470,0.044722,0.997128,0.0010,0.0000,0.009747,0.009747,0.000000,tool
447,662,-0.044722,0.997002,0.0000,0.0010,-0.005954,0.000000,0.005954,nontool
448,42,-0.044722,0.997002,0.0000,0.0010,-0.005073,0.000000,0.005073,nontool
449,731,-0.044722,0.997002,0.0000,0.0010,-0.007096,0.000000,0.007096,nontool
450,712,-0.044722,0.997002,0.0000,0.0010,-0.005578,0.000000,0.005578,nontool
451,60,-0.044722,0.997002,0.0000,0.0010,-0.008378,0.000000,0.008378,nontool
452,0,-0.044722,0.997002,0.0000,0.0010,-0.007143,0.000000,0.007143,nontool
453,330,-0.044722,0.997002,0.0000,0.0010,-0.004866,0.000000,0.004866,nontool
454,100,0.044722,0.997065,0.0010,0.0000,0.006264,0.006264,0.000000,tool
455,18,-0.044722,0.997002,0.0000,0.0010,-0.005032,0.000000,0.005032,nontool
456,594,0.044722,0.997503,0.0010,0.0000,0.003933,0.003933,0.000000,tool
457,531,-0.044722,0.997032,0.0000,0.0010,-0.003673,0.000000,0.003673,nontool
458,455,-0.044722,0.997002,0.0000,0.0010,-0.004235,0.000000,0.004235,nontool
459,294,-0.044721,0.997002,0.0000,0.0010,-0.004400,0.000000,0.004400,nontool
460,439,0.044721,0.997066,0.0010,0.0000,0.004617,0.004617,0.000000,tool
461,417,-0.044721,0.997002,0.0000,0.0010,-0.005061,0.000000,0.005061,nontool
462,633,0.044721,0.997253,0.0010,0.0000,0.005249,0.005249,0.000000,tool
463,40,0.044721,0.997065,0.0010,0.0000,0.007345,0.007345,0.000000,tool
464,34,0.044721,0.997253,0.0010,0.0000,0.003110,0.003110,0.000000,tool
465,11,-0.044721,0.997002,0.0000,0.0010,-0.005366,0.000000,0.005366,nontool
466,799,-0.044721,0.997002,0.0000,0.0010,-0.005892,0.000000,0.005892,nontool
467,595,-0.044721,0.997063,0.0000,0.0010,-0.005397,0.000000,0.005397,nontool
468,215,-0.044721,0.997002,0.0000,0.0010,-0.005418,0.000000,0.005418,nontool
469,637,-0.044721,0.997016,0.0000,0.0010,-0.005376,0.000000,0.005376,nontool
470,476,-0.044721,0.997002,0.0000,0.0010,-0.004811,0.000000,0.004811,nontool
471,28,0.044721,0.997253,0.0010,0.0000,0.008806,0.008806,0.000000,tool
472,372,-0.044721,0.997002,0.0000,0.0010,-0.003911,0.000000,0.003911,nontool
473,150,-0.044721,0.997002,0.0000,0.0010,-0.008341,0.000000,0.008341,nontool
474,765,0.044721,0.997283,0.0010,0.0000,0.005435,0.005435,0.000000,tool
475,255,0.044721,0.997253,0.0010,0.0000,0.009201,0.009201,0.000000,tool
476,7,0.044721,0.997283,0.0010,0.0000,0.006209,0.006209,0.000000,tool
477,225,-0.044721,0.997002,0.0000,0.0010,-0.003656,0.000000,0.003656,nontool
478,716,-0.044721,0.997002,0.0000,0.0010,-0.007334,0.000000,0.007334,nontool
479,334,0.044721,0.997065,0.0010,0.0000,0.003086,0.003086,0.000000,tool
480,169,-0.044721,0.997002,0.0000,0.0010,-0.005522,0.000000,0.005522,nontool
481,600,-0.044721,0.997002,0.0000,0.0010,-0.005321,0.000000,0.005321,nontool
