rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
191,1569,-0.108304,0.991883,0.0000,0.0060,-0.028672,0.000000,0.028672,nontool
192,865,-0.108213,0.991888,0.0000,0.0060,-0.030889,0.000000,0.030889,nontool
193,1521,0.108186,0.997513,0.0060,0.0000,0.026135,0.026135,0.000000,tool
194,888,-0.108028,0.991887,0.0000,0.0060,-0.036387,0.000000,0.036387,nontool
195,1253,-0.107906,0.991883,0.0000,0.0060,-0.028743,0.000000,0.028743,nontool
196,1539,0.107794,0.997536,0.0060,0.0000,0.031691,0.031691,0.000000,tool
197,1030,-0.106875,0.991911,0.0000,0.0060,-0.046011,0.000000,0.046011,nontool
198,1338,-0.106785,0.974252,0.0100,0.0190,-0.068107,0.041300,0.109407,nontool
199,1356,-0.106661,0.991911,0.0000,0.0060,-0.030898,0.000000,0.030898,nontool
200,1143,-0.105566,0.990257,0.0010,0.0070,-0.037709,0.003222,0.040931,nontool
201,1470,-0.105336,0.955367,0.0230,0.0340,-0.080688,0.086907,0.167595,nontool
202,954,-0.104949,0.991910,0.0000,0.0060,-0.038212,0.000000,0.038212,nontool
203,1501,0.104327,0.992077,0.0150,0.0060,0.062443,0.090452,0.028010,tool
204,1593,-0.104081,0.981938,0.0040,0.0130,-0.050591,0.018185,0.068776,nontool
205,1465,-0.102958,0.988869,0.0010,0.0080,-0.042904,0.003637,0.046541,nontool
206,940,-0.102424,0.991883,0.0000,0.0060,-0.034924,0.000000,0.034924,nontool
207,1225,0.101657,0.956708,0.0750,0.0330,0.189376,0.466295,0.276919,tool
208,1236,-0.101620,0.987271,0.0010,0.0090,-0.052078,0.009064,0.061142,nontool
209,890,-0.100953,0.983572,0.0050,0.0120,-0.045194,0.017631,0.062825,nontool
210,1350,0.100194,0.997514,0.0060,0.0000,0.031162,0.031162,0.000000,tool
211,1575,0.100173,0.997849,0.0050,0.0000,0.030008,0.030008,0.000000,tool
212,1051,0.100077,0.997014,0.0080,0.0010,0.026705,0.030499,0.003794,tool
213,1536,-0.100010,0.992567,0.0000,0.0050,-0.042448,0.000000,0.042448,nontool
214,1127,-0.099731,0.992519,0.0000,0.0050,-0.024383,0.000000,0.024383,nontool
215,1321,-0.099708,0.992520,0.0000,0.0050,-0.021865,0.000000,0.021865,nontool
216,1195,-0.099696,0.984830,0.0040,0.0110,-0.033731,0.012187,0.045918,nontool
217,1268,-0.099685,0.992514,0.0000,0.0050,-0.021452,0.000000,0.021452,nontool
218,909,-0.099643,0.987215,0.0010,0.0090,-0.042788,0.007025,0.049813,nontool
219,1129,-0.099610,0.992521,0.0000,0.0050,-0.023272,0.000000,0.023272,nontool
220,1171,-0.099412,0.992630,0.0000,0.0050,-0.029546,0.000000,0.029546,nontool
221,1555,-0.098953,0.992535,0.0000,0.0050,-0.021171,0.000000,0.021171,nontool
222,981,0.098915,0.997016,0.0070,0.0010,0.033159,0.036793,0.003634,tool
223,1042,-0.098766,0.992521,0.0000,0.0050,-0.026930,0.000000,0.026930,nontool
224,977,-0.098711,0.987214,0.0020,0.0090,-0.032449,0.007779,0.040228,nontool
225,1499,0.098656,0.998005,0.0050,0.0000,0.020796,0.020796,0.000000,tool
226,933,0.098545,0.996026,0.0110,0.0020,0.034204,0.044602,0.010398,tool
227,1599,-0.098286,0.992567,0.0000,0.0050,-0.031624,0.000000,0.031624,nontool
228,1269,-0.098216,0.990231,0.0010,0.0070,-0.041130,0.005782,0.046911,nontool
229,1326,0.098111,0.996037,0.0120,0.0020,0.033196,0.044376,0.011180,tool
230,896,-0.097909,0.992508,0.0000,0.0050,-0.028388,0.000000,0.028388,nontool
231,1067,-0.097902,0.992379,0.0000,0.0060,-0.049815,0.000000,0.049815,nontool
232,1354,0.097817,0.992195,0.0110,0.0060,0.078366,0.106458,0.028093,tool
233,1087,0.097661,0.983273,0.0320,0.0130,0.067851,0.134289,0.066438,tool
234,1510,-0.097410,0.986518,0.0030,0.0100,-0.038325,0.012301,0.050626,nontool
235,936,-0.097350,0.992514,0.0000,0.0050,-0.033840,0.000000,0.033840,nontool
236,1256,0.097279,0.997513,0.0050,0.0000,0.028697,0.028697,0.000000,tool
237,876,-0.097022,0.992514,0.0000,0.0050,-0.036890,0.000000,0.036890,nontool
238,895,0.096898,0.997536,0.0050,0.0000,0.024729,0.024729,0.000000,tool
239,849,0.096516,0.986760,0.0280,0.0100,0.055053,0.104057,0.049005,tool
240,959,0.096481,0.997024,0.0070,0.0010,0.025871,0.029716,0.003845,tool
241,1585,-0.096478,0.990243,0.0010,0.0070,-0.034378,0.004871,0.039249,nontool
242,1480,-0.096462,0.992521,0.0000,0.0050,-0.030470,0.000000,0.030470,nontool
243,1576,-0.096408,0.990242,0.0010,0.0070,-0.036882,0.005329,0.042212,nontool
244,899,0.096237,0.986631,0.0260,0.0100,0.052079,0.098267,0.046188,tool
245,894,-0.095492,0.992521,0.0000,0.0050,-0.035180,0.000000,0.035180,nontool
246,1371,-0.095064,0.992512,0.0000,0.0050,-0.034969,0.000000,0.034969,nontool
