rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,163,50.82422752825719,1.0,1.0,0.0,7.975037097930908,7.975037097930908,0.0,tool
1,675,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
2,673,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
3,685,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
4,683,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
5,682,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
6,667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
7,665,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
8,664,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
9,663,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
10,662,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
11,661,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
12,656,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
13,262,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
14,261,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
15,260,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
16,257,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
17,256,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,243,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,593,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,674,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,413,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,408,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,421,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,275,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,272,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,717,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,715,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,714,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,277,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,239,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,710,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,704,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,703,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,692,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,691,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,689,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
