rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,809,3.9339438560393294,0.987,1.0,0.013,2.0894737243652344,2.1678059101104736,0.07833221554756165,tool
1,437,1.0293498444687683,0.7198635625,0.6415,0.148,0.964632511138916,1.3241461515426636,0.35951361060142517,tool
2,444,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
3,431,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
4,432,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
5,207,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
6,213,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
7,201,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
8,202,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
9,456,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
10,484,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
11,214,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
12,464,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
13,465,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
14,467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
15,468,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
16,454,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
17,169,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,481,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,223,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,531,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,523,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,575,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,567,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,568,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,164,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,150,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,442,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,137,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,138,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,597,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,582,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,588,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,161,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,162,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,453,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
37,440,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
38,149,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
39,297,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
40,298,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
41,321,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
42,727,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
43,728,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
44,720,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
45,754,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
46,745,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
47,471,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
48,760,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
49,764,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
50,810,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
51,356,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
52,329,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
53,331,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
54,263,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
55,268,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
56,351,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
57,772,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
58,813,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
