rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,139,44.351911252570744,0.9997498125,1.0,0.00075,5.993729591369629,5.997950077056885,0.004220370203256607,tool
1,633,1.825162198081896,0.8125,0.625,0.0,2.8234386444091797,2.8234386444091797,0.0,tool
2,32,0.8515219165672864,0.71616153125,0.98525,0.282,2.337944746017456,4.55424690246582,2.2163021564483643,tool
3,292,0.2622219357205655,0.516625,0.03325,0.0,0.1501641869544983,0.1501641869544983,0.0,tool
4,249,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
5,589,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
6,586,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
7,584,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
8,582,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
9,237,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
10,235,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
11,627,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
12,626,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
13,624,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
14,636,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
15,217,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
16,216,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
17,214,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,227,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,575,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,271,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,270,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,285,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,284,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,282,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,263,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,594,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,591,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,243,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,601,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,258,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,257,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,256,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,254,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,244,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,225,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,240,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
37,603,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
38,360,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
39,358,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
40,334,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
