rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
0,220,2.716482457998519,0.894283,0.8105,0.0125,9.69880485534668,9.878108978271484,0.17930425703525543,tool
1,490,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
2,489,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
3,310,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
4,309,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
5,308,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
6,307,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
7,305,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
8,318,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
9,317,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
10,316,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
11,253,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
12,252,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
13,251,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
14,250,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
15,249,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
16,260,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
17,259,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
18,235,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
19,234,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
20,232,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
21,246,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
22,254,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
23,343,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
24,515,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
25,513,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
26,271,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
27,270,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
28,269,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
29,266,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
30,265,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
31,264,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
32,503,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
33,501,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
34,247,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
35,510,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
36,509,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
37,508,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
38,507,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
39,516,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
40,313,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
41,326,0.0,0.5,0.0,0.0,0.0,0.0,0.0,nontool
