dict_size,regime,exclusive_pct,metric_family,model_side,mean,median,min,max,count
16384,DFC free-exclusive,0.05,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,0.05,overall_score,A,0.5033333333333333,0.44,0.33,0.74,3
16384,DFC free-exclusive,0.05,overall_score,B,-0.8933333333333333,-0.88,-0.94,-0.86,3
16384,DFC free-exclusive,0.05,tool_correctness,A,50.333333333333336,48.0,45.0,58.0,3
16384,DFC free-exclusive,0.05,tool_correctness,B,5.333333333333333,6.0,3.0,7.0,3
16384,DFC free-exclusive,0.1,format_accuracy,A,49.666666666666664,57.0,33.0,59.0,3
16384,DFC free-exclusive,0.1,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC free-exclusive,0.1,overall_score,A,0.4766666666666666,0.69,-0.01,0.75,3
16384,DFC free-exclusive,0.1,overall_score,B,-0.84,-0.92,-0.98,-0.62,3
16384,DFC free-exclusive,0.1,tool_correctness,A,49.0,56.0,33.0,58.0,3
16384,DFC free-exclusive,0.1,tool_correctness,B,8.0,4.0,1.0,19.0,3
16384,DFC penalized-exclusive,0.03,format_accuracy,A,45.333333333333336,42.0,42.0,52.0,3
16384,DFC penalized-exclusive,0.03,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC penalized-exclusive,0.03,overall_score,A,0.3666666666666667,0.28,0.26,0.56,3
16384,DFC penalized-exclusive,0.03,overall_score,B,-0.86,-0.86,-0.88,-0.84,3
16384,DFC penalized-exclusive,0.03,tool_correctness,A,45.666666666666664,43.0,42.0,52.0,3
16384,DFC penalized-exclusive,0.03,tool_correctness,B,7.0,7.0,6.0,8.0,3
16384,DFC penalized-exclusive,0.05,format_accuracy,A,47.666666666666664,49.0,45.0,49.0,3
16384,DFC penalized-exclusive,0.05,format_accuracy,B,0.0,0.0,0.0,0.0,3
16384,DFC penalized-exclusive,0.05,overall_score,A,0.45,0.49,0.37,0.49,3
16384,DFC penalized-exclusive,0.05,overall_score,B,-0.9333333333333333,-0.94,-0.94,-0.92,3
16384,DFC penalized-exclusive,0.05,tool_correctness,A,48.666666666666664,50.0,46.0,50.0,3
16384,DFC penalized-exclusive,0.05,tool_correctness,B,3.3333333333333335,3.0,3.0,4.0,3
16384,DFC penalized-exclusive,0.1,format_accuracy,A,51.0,51.0,50.0,52.0,2
16384,DFC penalized-exclusive,0.1,format_accuracy,B,0.0,0.0,0.0,0.0,2
16384,DFC penalized-exclusive,0.1,overall_score,A,0.5700000000000001,0.5700000000000001,0.54,0.6,2
16384,DFC penalized-exclusive,0.1,overall_score,B,-0.88,-0.88,-0.9,-0.86,2
16384,DFC penalized-exclusive,0.1,tool_correctness,A,53.0,53.0,52.0,54.0,2
16384,DFC penalized-exclusive,0.1,tool_correctness,B,6.0,6.0,5.0,7.0,2
