dict_size,exclusive_pct,regime,metric,comparison,delta
8192,0.05,DFC free-exclusive,format_accuracy_A_post,45->160,-6.0
8192,0.05,DFC free-exclusive,format_accuracy_B_post,45->160,0.0
8192,0.05,DFC free-exclusive,overall_score_A_post,45->160,-0.17999999999999994
8192,0.05,DFC free-exclusive,overall_score_B_post,45->160,0.039999999999999925
8192,0.05,DFC free-exclusive,tool_correctness_A_post,45->160,-6.0
8192,0.05,DFC free-exclusive,tool_correctness_B_post,45->160,2.0
8192,0.05,DFC penalized-exclusive,format_accuracy_A_post,45->90,6.0
8192,0.05,DFC penalized-exclusive,format_accuracy_B_post,45->90,0.0
8192,0.05,DFC penalized-exclusive,overall_score_A_post,45->90,0.20000000000000007
8192,0.05,DFC penalized-exclusive,overall_score_B_post,45->90,0.19999999999999996
8192,0.05,DFC penalized-exclusive,tool_correctness_A_post,45->90,7.0
8192,0.05,DFC penalized-exclusive,tool_correctness_B_post,45->90,10.0
8192,0.05,DFC penalized-exclusive,format_accuracy_A_post,90->160,-25.0
8192,0.05,DFC penalized-exclusive,format_accuracy_B_post,90->160,0.0
8192,0.05,DFC penalized-exclusive,overall_score_A_post,90->160,-0.77
8192,0.05,DFC penalized-exclusive,overall_score_B_post,90->160,-0.21999999999999997
8192,0.05,DFC penalized-exclusive,tool_correctness_A_post,90->160,-26.0
8192,0.05,DFC penalized-exclusive,tool_correctness_B_post,90->160,-11.0
8192,0.05,DFC penalized-exclusive,format_accuracy_A_post,45->160,-19.0
8192,0.05,DFC penalized-exclusive,format_accuracy_B_post,45->160,0.0
8192,0.05,DFC penalized-exclusive,overall_score_A_post,45->160,-0.57
8192,0.05,DFC penalized-exclusive,overall_score_B_post,45->160,-0.020000000000000018
8192,0.05,DFC penalized-exclusive,tool_correctness_A_post,45->160,-19.0
8192,0.05,DFC penalized-exclusive,tool_correctness_B_post,45->160,-1.0
8192,0.1,DFC free-exclusive,format_accuracy_A_post,45->90,11.0
8192,0.1,DFC free-exclusive,format_accuracy_B_post,45->90,0.0
8192,0.1,DFC free-exclusive,overall_score_A_post,45->90,0.29000000000000004
8192,0.1,DFC free-exclusive,overall_score_B_post,45->90,0.06000000000000005
8192,0.1,DFC free-exclusive,tool_correctness_A_post,45->90,9.0
8192,0.1,DFC free-exclusive,tool_correctness_B_post,45->90,3.0
8192,0.1,DFC free-exclusive,format_accuracy_A_post,90->160,31.0
8192,0.1,DFC free-exclusive,format_accuracy_B_post,90->160,0.0
8192,0.1,DFC free-exclusive,overall_score_A_post,90->160,0.9299999999999999
8192,0.1,DFC free-exclusive,overall_score_B_post,90->160,-0.18000000000000005
8192,0.1,DFC free-exclusive,tool_correctness_A_post,90->160,31.0
8192,0.1,DFC free-exclusive,tool_correctness_B_post,90->160,-9.0
8192,0.1,DFC free-exclusive,format_accuracy_A_post,45->160,42.0
8192,0.1,DFC free-exclusive,format_accuracy_B_post,45->160,0.0
8192,0.1,DFC free-exclusive,overall_score_A_post,45->160,1.22
8192,0.1,DFC free-exclusive,overall_score_B_post,45->160,-0.12
8192,0.1,DFC free-exclusive,tool_correctness_A_post,45->160,40.0
