dict_size,regime,topk,metric_family,model_side,mean,median,min,max,count
8192,DFC penalized-exclusive,90,overall_score,B,-0.86,-0.88,-0.96,-0.74,3
8192,DFC penalized-exclusive,90,tool_correctness,A,49.666666666666664,52.0,44.0,53.0,3
8192,DFC penalized-exclusive,90,tool_correctness,B,7.0,6.0,2.0,13.0,3
8192,DFC penalized-exclusive,160,format_accuracy,A,40.0,44.0,26.0,50.0,3
8192,DFC penalized-exclusive,160,format_accuracy,B,0.0,0.0,0.0,0.0,3
8192,DFC penalized-exclusive,160,overall_score,A,0.2,0.32,-0.22,0.5,3
8192,DFC penalized-exclusive,160,overall_score,B,-0.9,-0.9,-0.96,-0.84,3
8192,DFC penalized-exclusive,160,tool_correctness,A,40.0,44.0,26.0,50.0,3
8192,DFC penalized-exclusive,160,tool_correctness,B,5.0,5.0,2.0,8.0,3
16384,CrossCoder + L1,45,format_accuracy,A,51.0,51.0,51.0,51.0,1
16384,CrossCoder + L1,45,format_accuracy,B,0.0,0.0,0.0,0.0,1
16384,CrossCoder + L1,45,overall_score,A,0.55,0.55,0.55,0.55,1
16384,CrossCoder + L1,45,overall_score,B,-0.76,-0.76,-0.76,-0.76,1
16384,CrossCoder + L1,45,tool_correctness,A,52.0,52.0,52.0,52.0,1
16384,CrossCoder + L1,45,tool_correctness,B,12.0,12.0,12.0,12.0,1
16384,CrossCoder + L1,90,format_accuracy,A,45.0,45.0,45.0,45.0,1
16384,CrossCoder + L1,90,format_accuracy,B,0.0,0.0,0.0,0.0,1
16384,CrossCoder + L1,90,overall_score,A,0.37,0.37,0.37,0.37,1
16384,CrossCoder + L1,90,overall_score,B,-0.94,-0.94,-0.94,-0.94,1
16384,CrossCoder + L1,90,tool_correctness,A,46.0,46.0,46.0,46.0,1
16384,CrossCoder + L1,90,tool_correctness,B,3.0,3.0,3.0,3.0,1
16384,CrossCoder + L1,160,format_accuracy,A,66.0,66.0,66.0,66.0,1
16384,CrossCoder + L1,160,format_accuracy,B,0.0,0.0,0.0,0.0,1
