name,skipped,overall_score_A_pre,overall_score_A_pre_std,overall_score_A_post,overall_score_A_post_std,overall_score_A_delta,format_accuracy_A_pre,format_accuracy_A_post,format_accuracy_A_delta,tool_correctness_A_pre,tool_correctness_A_post,tool_correctness_A_delta,overall_score_B_pre,overall_score_B_pre_std,overall_score_B_post,overall_score_B_post_std,overall_score_B_delta,format_accuracy_B_pre,format_accuracy_B_post,format_accuracy_B_delta,tool_correctness_B_pre,tool_correctness_B_post,tool_correctness_B_delta,n_evaluated,architecture,model_a,model_b,layer,activation_dim,dict_size,k,model_a_exclusive_pct,model_b_exclusive_pct,steps,lr,train_batch,sparsity_coef,exclusive_sparsity_coef,loss,wandb_project,trained_at,parsed_architecture,parsed_dict_size,parsed_topk,parsed_exclusive_pct,parsed_use_l1,parsed_free_exclusive,exclusive_pct,is_crosscoder_baseline,variant_family,free_exclusive,uses_l1,uses_exclusive_l1,regime,exclusive_pct_label
antebe1/dfc-D8k-excl3-freeexcl-k45,0,-0.43,1.1769,0.47,1.4997,0.9,19.0,49.0,30.0,19.0,49.0,30.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.03,0.03,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T02:36:53+00:00,DFC,8192,45,0.03,True,True,0.03,False,DFC,True,True,False,DFC free-exclusive,3%
antebe1/dfc-D8k-excl3-freeexcl-k90,0,-0.43,1.1769,0.1,1.4387,0.53,19.0,36.0,17.0,19.0,37.0,18.0,-1.0,0.0,-0.82,0.5724,0.18,0.0,0.0,0.0,0.0,9.0,9.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.03,0.03,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T03:53:46+00:00,DFC,8192,90,0.03,True,True,0.03,False,DFC,True,True,False,DFC free-exclusive,3%
antebe1/dfc-D8k-excl3-k160,0,-0.43,1.1769,0.5,1.5,0.93,19.0,50.0,31.0,19.0,50.0,31.0,-1.0,0.0,-0.9,0.4359,0.1,0.0,0.0,0.0,0.0,5.0,5.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,160,0.03,0.03,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T05:24:45+00:00,DFC,8192,160,0.03,True,False,0.03,False,DFC,False,True,True,DFC penalized-exclusive,3%
antebe1/dfc-D8k-excl3-k45,0,-0.43,1.1769,0.32,1.4892,0.75,19.0,44.0,25.0,19.0,44.0,25.0,-1.0,0.0,-0.98,0.199,0.02,0.0,0.0,0.0,0.0,1.0,1.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.03,0.03,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T02:36:46+00:00,DFC,8192,45,0.03,True,False,0.03,False,DFC,False,True,True,DFC penalized-exclusive,3%
antebe1/dfc-D8k-excl3-k90,0,-0.43,1.1769,0.32,1.4892,0.75,19.0,44.0,25.0,19.0,44.0,25.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.03,0.03,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T03:53:41+00:00,DFC,8192,90,0.03,True,False,0.03,False,DFC,False,True,True,DFC penalized-exclusive,3%
antebe1/dfc-D8k-excl5-freeexcl-k160,0,-0.43,1.1769,0.53,1.4997,0.96,19.0,51.0,32.0,19.0,51.0,32.0,-1.0,0.0,-0.92,0.3919,0.08,0.0,0.0,0.0,0.0,4.0,4.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,160,0.05,0.05,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T05:35:31+00:00,DFC,8192,160,0.05,True,True,0.05,False,DFC,True,True,False,DFC free-exclusive,5%
antebe1/dfc-D8k-excl5-freeexcl-k45,0,-0.43,1.1769,0.71,1.4852,1.14,19.0,57.0,38.0,19.0,57.0,38.0,-1.0,0.0,-0.96,0.28,0.04,0.0,0.0,0.0,0.0,2.0,2.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.05,0.05,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T02:47:24+00:00,DFC,8192,45,0.05,True,True,0.05,False,DFC,True,True,False,DFC free-exclusive,5%
antebe1/dfc-D8k-excl5-freeexcl-k90,0,-0.43,1.1769,0.92,1.44,1.35,19.0,64.0,45.0,19.0,64.0,45.0,-1.0,0.0,-0.94,0.3412,0.06,0.0,0.0,0.0,0.0,3.0,3.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.05,0.05,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T04:52:39+00:00,DFC,8192,90,0.05,True,True,0.05,False,DFC,True,True,False,DFC free-exclusive,5%
antebe1/dfc-D8k-excl5-k160,0,-0.43,1.1769,-0.22,1.3159,0.21,19.0,26.0,7.0,19.0,26.0,7.0,-1.0,0.0,-0.96,0.28,0.04,0.0,0.0,0.0,0.0,2.0,2.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,160,0.05,0.05,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T05:35:28+00:00,DFC,8192,160,0.05,True,False,0.05,False,DFC,False,True,True,DFC penalized-exclusive,5%
antebe1/dfc-D8k-excl5-k45,0,-0.43,1.1769,0.35,1.4925,0.78,19.0,45.0,26.0,19.0,45.0,26.0,-1.0,0.0,-0.94,0.3412,0.06,0.0,0.0,0.0,0.0,3.0,3.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.05,0.05,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T02:47:20+00:00,DFC,8192,45,0.05,True,False,0.05,False,DFC,False,True,True,DFC penalized-exclusive,5%
antebe1/dfc-D8k-excl5-k90,0,-0.43,1.1769,0.55,1.4925,0.98,19.0,51.0,32.0,19.0,52.0,33.0,-1.0,0.0,-0.74,0.6726,0.26,0.0,0.0,0.0,0.0,13.0,13.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.05,0.05,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T04:52:35+00:00,DFC,8192,90,0.05,True,False,0.05,False,DFC,False,True,True,DFC penalized-exclusive,5%
