name,skipped,overall_score_A_pre,overall_score_A_pre_std,overall_score_A_post,overall_score_A_post_std,overall_score_A_delta,format_accuracy_A_pre,format_accuracy_A_post,format_accuracy_A_delta,tool_correctness_A_pre,tool_correctness_A_post,tool_correctness_A_delta,overall_score_B_pre,overall_score_B_pre_std,overall_score_B_post,overall_score_B_post_std,overall_score_B_delta,format_accuracy_B_pre,format_accuracy_B_post,format_accuracy_B_delta,tool_correctness_B_pre,tool_correctness_B_post,tool_correctness_B_delta,n_evaluated,architecture,model_a,model_b,layer,activation_dim,dict_size,k,model_a_exclusive_pct,model_b_exclusive_pct,steps,lr,train_batch,sparsity_coef,exclusive_sparsity_coef,loss,wandb_project,trained_at,parsed_architecture,parsed_dict_size,parsed_topk,parsed_exclusive_pct,parsed_use_l1,parsed_free_exclusive,exclusive_pct,is_crosscoder_baseline,variant_family,free_exclusive,uses_l1,uses_exclusive_l1,regime,exclusive_pct_label
antebe1/cc-D8k-nol1-k45,0,-0.43,1.1769,1.1,1.3748,1.53,19.0,70.0,51.0,19.0,70.0,51.0,-1.0,0.0,-0.66,0.7513,0.34,0.0,0.0,0.0,0.0,17.0,17.0,100,CrossCoder,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,45,0.0,0.0,9000,0.0001,1024,0,0,"MSE only (top-k enforces sparsity structurally, no L1 penalty)",dfc-crosscoder-sweep,2026-03-30T03:43:04+00:00,CrossCoder,8192,45,0.0,False,False,0.0,True,CrossCoder baseline,False,False,False,CrossCoder no-L1,0%
antebe1/cc-D8k-nol1-k90,0,-0.43,1.1769,0.8,1.4697,1.23,19.0,60.0,41.0,19.0,60.0,41.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,CrossCoder,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,8192,90,0.0,0.0,9000,0.0001,1024,0,0,"MSE only (top-k enforces sparsity structurally, no L1 penalty)",dfc-crosscoder-sweep,2026-03-30T05:14:04+00:00,CrossCoder,8192,90,0.0,False,False,0.0,True,CrossCoder baseline,False,False,False,CrossCoder no-L1,0%
antebe1/dfc-D16k-excl10-freeexcl-k160,0,-0.43,1.1769,0.75,1.4722,1.18,19.0,59.0,40.0,19.0,58.0,39.0,-1.0,0.0,-0.92,0.3919,0.08,0.0,0.0,0.0,0.0,4.0,4.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,160,0.1,0.1,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T09:36:36+00:00,DFC,16384,160,0.1,True,True,0.1,False,DFC,True,True,False,DFC free-exclusive,10%
antebe1/dfc-D16k-excl10-freeexcl-k45,0,-0.43,1.1769,-0.01,1.4106,0.42,19.0,33.0,14.0,19.0,33.0,14.0,-1.0,0.0,-0.98,0.199,0.02,0.0,0.0,0.0,0.0,1.0,1.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,45,0.1,0.1,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T06:56:42+00:00,DFC,16384,45,0.1,True,True,0.1,False,DFC,True,True,False,DFC free-exclusive,10%
antebe1/dfc-D16k-excl10-freeexcl-k90,0,-0.43,1.1769,0.69,1.4812,1.12,19.0,57.0,38.0,19.0,56.0,37.0,-1.0,0.0,-0.62,0.7846,0.38,0.0,0.0,0.0,0.0,19.0,19.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,90,0.1,0.1,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T08:16:30+00:00,DFC,16384,90,0.1,True,True,0.1,False,DFC,True,True,False,DFC free-exclusive,10%
antebe1/dfc-D16k-excl10-k160,0,-0.43,1.1769,0.6,1.4832,1.03,19.0,52.0,33.0,19.0,54.0,35.0,-1.0,0.0,-0.9,0.4359,0.1,0.0,0.0,0.0,0.0,5.0,5.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,160,0.1,0.1,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T09:36:31+00:00,DFC,16384,160,0.1,True,False,0.1,False,DFC,False,True,True,DFC penalized-exclusive,10%
antebe1/dfc-D16k-excl10-k45,0,-0.43,1.1769,0.54,1.4861,0.97,19.0,50.0,31.0,19.0,52.0,33.0,-1.0,0.0,-0.86,0.5103,0.14,0.0,0.0,0.0,0.0,7.0,7.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,45,0.1,0.1,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T06:56:30+00:00,DFC,16384,45,0.1,True,False,0.1,False,DFC,False,True,True,DFC penalized-exclusive,10%
antebe1/dfc-D16k-excl3-freeexcl-k160,0,-0.43,1.1769,0.49,1.4933,0.92,19.0,49.0,30.0,19.0,50.0,31.0,-1.0,0.0,-0.94,0.3412,0.06,0.0,0.0,0.0,0.0,3.0,3.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,160,0.03,0.03,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T08:56:28+00:00,DFC,16384,160,0.03,True,True,0.03,False,DFC,True,True,False,DFC free-exclusive,3%
antebe1/dfc-D16k-excl3-freeexcl-k45,0,-0.43,1.1769,0.49,1.4933,0.92,19.0,49.0,30.0,19.0,50.0,31.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,45,0.03,0.03,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T06:16:49+00:00,DFC,16384,45,0.03,True,True,0.03,False,DFC,True,True,False,DFC free-exclusive,3%
antebe1/dfc-D16k-excl3-freeexcl-k90,0,-0.43,1.1769,0.23,1.4755,0.66,19.0,41.0,22.0,19.0,41.0,22.0,-1.0,0.0,-0.82,0.5724,0.18,0.0,0.0,0.0,0.0,9.0,9.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,90,0.03,0.03,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T07:36:35+00:00,DFC,16384,90,0.03,True,True,0.03,False,DFC,True,True,False,DFC free-exclusive,3%
antebe1/dfc-D16k-excl3-k160,0,-0.43,1.1769,0.56,1.4988,0.99,19.0,52.0,33.0,19.0,52.0,33.0,-1.0,0.0,-0.84,0.5426,0.16,0.0,0.0,0.0,0.0,8.0,8.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,160,0.03,0.03,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T08:56:15+00:00,DFC,16384,160,0.03,True,False,0.03,False,DFC,False,True,True,DFC penalized-exclusive,3%
antebe1/dfc-D16k-excl3-k45,0,-0.43,1.1769,0.28,1.477,0.71,19.0,42.0,23.0,19.0,43.0,24.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,45,0.03,0.03,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T06:16:40+00:00,DFC,16384,45,0.03,True,False,0.03,False,DFC,False,True,True,DFC penalized-exclusive,3%
antebe1/dfc-D16k-excl3-k90,0,-0.43,1.1769,0.26,1.4807,0.69,19.0,42.0,23.0,19.0,42.0,23.0,-1.0,0.0,-0.86,0.5103,0.14,0.0,0.0,0.0,0.0,7.0,7.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,90,0.03,0.03,9000,0.0001,1024,0.001,0.001,"MSE + L1 sparsity (shared: 1e-3, exclusive: 1e-3)",dfc-crosscoder-sweep,2026-03-30T07:36:23+00:00,DFC,16384,90,0.03,True,False,0.03,False,DFC,False,True,True,DFC penalized-exclusive,3%
antebe1/dfc-D16k-excl5-freeexcl-k160,0,-0.43,1.1769,0.74,1.4671,1.17,19.0,58.0,39.0,19.0,58.0,39.0,-1.0,0.0,-0.94,0.3412,0.06,0.0,0.0,0.0,0.0,3.0,3.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,160,0.05,0.05,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T09:16:34+00:00,DFC,16384,160,0.05,True,True,0.05,False,DFC,True,True,False,DFC free-exclusive,5%
antebe1/dfc-D16k-excl5-freeexcl-k45,0,-0.43,1.1769,0.44,1.4988,0.87,19.0,48.0,29.0,19.0,48.0,29.0,-1.0,0.0,-0.88,0.475,0.12,0.0,0.0,0.0,0.0,6.0,6.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,45,0.05,0.05,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T06:36:48+00:00,DFC,16384,45,0.05,True,True,0.05,False,DFC,True,True,False,DFC free-exclusive,5%
antebe1/dfc-D16k-excl5-freeexcl-k90,0,-0.43,1.1769,0.33,1.4769,0.76,19.0,43.0,24.0,19.0,45.0,26.0,-1.0,0.0,-0.86,0.5103,0.14,0.0,0.0,0.0,0.0,7.0,7.0,100,DFC,chengq9/ToolRL-Qwen2.5-3B,Qwen/Qwen2.5-3B,13,2048,16384,90,0.05,0.05,9000,0.0001,1024,0.001,0,MSE + L1 on shared features only (coef: 1e-3); exclusive features unpenalized,dfc-crosscoder-sweep,2026-03-30T07:56:35+00:00,DFC,16384,90,0.05,True,True,0.05,False,DFC,True,True,False,DFC free-exclusive,5%
